Lat	Lon	Area_ha	S	N	min_DBH_cm	Tree_def	Notes	Numerical_ID	Plot_ID	Dataset	Ref_short	Ref_long
21.483	101.567	0.25	57	187	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	34	Cao_5	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.25	58	278	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	35	Cao_6	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.25	63	158	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	36	Cao_7	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.25	52	184	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	37	Cao_8	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.16	49	142	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	38	Cao_9	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.16	44	123	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	39	Cao_10	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.16	48	164	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	40	Cao_11	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.12	29	164	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	41	Cao_12	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.12	21	165	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	42	Cao_13	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.12	31	205	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	43	Cao_14	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
