"Dataset","Loc_ID","Lat","Lon","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ISLAND","HABITAT","REALM","REALM_PK","DAT_TYPE"
"CoelhodeSouza_Amazon","BBS-02",4.93,-55.19,0.01,113,569,10,24566,12371.9169921875,24.2,25.1,76,287,41,292,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BBS-03",4.95,-55.19,0.01,104,630,10,24403,12447.1669921875,24.1,25.1,77,288,41,247,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BBS-04",4.97,-55.18,0.01,98,465,10,26279,13448.75,25.5,26.5,76,277,41,173,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BBS-05",4.99,-55.2,0.01,112,515,10,26346,13435.75,26.5,27.4,77,267,41,80,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BBS-06",4.94,-55.18,0.01,106,544,10,24804,12895.8330078125,25.4,26.3,77,274,41,241,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BBS-07",4.92,-55.13,0.01,104,458,10,24590,12769.6669921875,26.7,27.7,77,262,41,36,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BBS-08",4.93,-55.14,0.01,97,555,10,21636,10919.5,26.7,27.6,77,263,41,39,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BCA-01",3.97,-77.07,0.001,65,94,10,23424,19375.25,26,26.3,90,1078,29,40,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BCU-01",11.14,-73.47,0.001,26,63,10,28504,11284.25,24.2,24.8,82,61,72,365,0,"Tropical and Subtropical Dry Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BDF-01",-2.34,-60.1,0.02,383,1689,10,25155,12048,27,27.6,83,378,32,53,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BDF-03",-2.42,-59.85,0.01,298,793,10,24069,11917.8330078125,27,27.6,82,356,33,39,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BDF-04",-2.43,-59.85,0.01,316,934,10,23939,11698.8330078125,26.9,27.6,83,355,32,51,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BDF-06",-2.41,-59.86,0.03,487,2549,10,24525,11785.8330078125,27,27.6,82,358,32,53,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BDF-07",-2.4,-59.9,0.01,302,862,10,23936,11766.9169921875,27,27.6,83,362,32,70,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BDF-09",-2.4,-59.85,0.01,290,759,10,24703,11959.75,27,27.6,82,357,33,42,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BDF-10",-2.39,-59.86,0.02,461,1670,10,25024,12122.75,26.9,27.5,83,361,33,42,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BDF-11",-2.38,-59.85,0.03,505,2203,10,24364,11964.0830078125,26.9,27.5,83,361,33,58,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BDF-12",-2.39,-59.85,0.02,438,1492,10,24280,11772.9169921875,26.9,27.5,83,359,33,50,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BDF-13",-2.4,-59.91,0.09,637,6527,10,24275,11853.0830078125,26.8,27.4,82,364,32,51,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
