"ptID","Lon","Lat","A","TREE_DENS","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ISLAND"
"pt7666",21.70485,-15.85986,0.8224462,10087,10607,6687.75,21.6,24.3,58,0,110,7,0
"pt7667",21.95866,-15.14971,0.8252547,11880,11803,6285.333,21.6,24.1,60,0,108,11,0
"pt7668",22.1996,-14.44638,0.8279377,57835,8561,4523.833,21.3,23.7,61,0,104,7,0
"pt7669",22.61697,-13.6294,0.8308748,5972,7096,4726.083,21.1,23.2,64,1,101,6,0
"pt7670",23.0243,-12.81754,0.8336165,36053,12545,5811,19.9,21.8,65,2,96,89,0
"pt7671",23.42429,-12.00943,0.8361933,39391,23766,11254.42,20.3,21.9,64,2,93,19,0
"pt7672",23.81881,-11.20408,0.8386045,31056,16346,11372.08,21,22.4,64,4,90,16,0
"pt7673",24.20917,-10.40079,0.8408274,31552,12292,6302.333,21.5,22.8,65,2,92,16,0
"pt7674",24.59636,-9.598999,0.842908,42495,15536,12800.67,23.2,24.2,67,2,91,21,0
"pt7675",24.98113,-8.798291,0.844803,21805,11089,5909,22.8,23.2,72,8,83,83,0
"pt7676",25.36407,-7.998338,0.8465342,31278,16935,12933.83,23.4,24,71,17,76,52,0
"pt7677",25.74569,-7.198877,0.8481014,24736,15879,11466.42,23.3,23.7,74,18,75,65,0
"pt7678",26.12639,-6.399694,0.8494906,16210,16903,12751.67,23.5,23.8,77,20,70,37,0
"pt7679",26.50654,-5.600614,0.8507307,19733,16568,13091.08,24.8,25.1,75,29,65,20,0
"pt7680",26.88646,-4.801491,0.851806,28143,17426,12402,25.2,25.8,78,58,59,41,0
"pt7681",27.26643,-4.002202,0.8527163,56077,26806,12786.67,23.8,24,82,107,51,152,0
"pt7682",27.64673,-3.20264,0.8534616,24653,27568,13341,23.6,23.8,83,154,44,70,0
"pt7683",28.02759,-2.402714,0.8540415,48118,26655,12537.83,21.2,21.4,84,181,38,139,0
"pt7684",28.40927,-1.602345,0.8544559,50670,27214,11885.75,20.1,20.4,89,227,29,130,0
"pt7685",28.79197,-0.8014611,0.854705,59328,27270,11768.67,17.5,17.9,91,286,24,169,0
"pt7686",29.17593,-1.260245e-09,0.8547885,27195,30393,13981.42,18.2,18.7,87,269,26,77,0
"pt7687",29.57513,0.8032241,0.8547049,9650,29972,14718.58,22.8,23.1,88,240,25,44,0
"pt7688",29.9732,1.609795,0.8544522,6449,20208,12476,21.4,22.1,85,204,27,144,0
"pt7689",30.36936,2.420446,0.8540305,22906,22091,19108,21.7,22.8,80,130,42,65,0
"pt7690",30.76265,3.236028,0.8534331,15131,17549,11685.08,23.1,24.5,77,94,50,25,0
"pt7691",31.15181,4.057535,0.8526635,25902,14893,10275.42,25.3,27,75,33,64,30,0
"pt7692",31.53526,4.886135,0.8517007,9251,11529,8346,27.6,29.3,73,16,68,14,0
"pt7693",31.91095,5.723206,0.8505589,66931,13608,6047.667,27.6,29.3,74,19,68,8,0
"pt7694",32.27625,6.570377,0.8492102,103575,8438,6755.417,27.6,29.2,72,17,72,7,0
"pt7695",32.62779,7.429591,0.8476598,87588,9160,7328.667,27.8,29.7,69,12,83,7,0
"pt7696",33.32955,8.043138,0.8464292,6362,7793,6391.167,27.6,29.8,68,10,86,10,0
"pt7697",34.01674,8.66552,0.8451011,28592,11012,10790.33,27.3,29.4,64,7,84,16,0
"pt7698",34.69252,9.294067,0.8436359,28610,16288,14618.92,21.4,23.4,69,16,83,33,0
"pt7699",35.35953,9.9267,0.8420682,15094,11901,8868.333,23.9,26.1,67,5,96,62,0
"pt7700",36.01996,10.56178,0.8403982,27409,15259,10856,20.6,22.5,67,18,99,231,0
"pt7701",36.67571,11.19802,0.8386261,18145,13583,7573.083,18.4,19.8,70,25,103,20,0
"pt7702",37.32835,11.83436,0.8367269,NA,NA,NA,19.7,21.7,69,10,126,0,0
"pt7703",37.97929,12.46998,0.8347499,12114,8485,4239.083,21.2,22.9,79,10,129,181,0
"pt7704",16.39793,-28.14896,0.7542754,0,NA,NA,15.9,18.5,62,8,40,21,0
"pt7705",16.85835,-27.45228,0.759066,0,3022,1790,14.5,19,55,16,45,68,0
"pt7706",17.30769,-26.7479,0.7638577,0,NA,NA,19.3,24.4,54,3,96,18,0
"pt7707",17.74571,-26.03662,0.7685327,0,3106,2500.333,20.4,25.7,55,1,112,15,0
"pt7708",18.17224,-25.31927,0.7731434,0,2989,2534.333,19.8,25.4,55,5,96,17,0
"pt7709",18.58712,-24.59669,0.7776847,0,2878,2618.583,20.1,26,54,3,102,14,0
"pt7710",18.9902,-23.8697,0.7821019,0,3369,2631.417,19.6,24.8,57,5,98,19,0
"pt7711",19.38138,-23.13918,0.7864428,0,4103,2483.75,19.5,24.4,57,6,90,17,0
"pt7712",19.76058,-22.40595,0.7906551,0,4490,3023.833,19.9,24.7,56,13,80,24,0
"pt7713",20.12774,-21.67088,0.7947382,0,4965,3179.417,20,24.4,57,5,89,8,0
"pt7714",20.48281,-20.93481,0.7986916,2826,6617,3672.167,21.4,25.6,57,1,100,45,0
"pt7715",20.8258,-20.19856,0.8025573,0,6539,3669.75,21.6,25.4,56,0,106,14,0
"pt7716",21.1567,-19.46294,0.8062478,9466,7647,4688.25,21.8,25.4,56,0,107,7,0
"pt7717",21.47556,-18.72877,0.8098067,8363,8896,5257.5,21.9,25.3,56,0,106,6,0
"pt7718",21.78241,-17.99681,0.8132335,9031,8707,4896.917,21.7,24.9,56,0,109,10,0
"pt7719",22.07732,-17.2678,0.8164909,20234,11385,7155.75,21.9,24.9,56,0,109,12,0
"pt7720",22.36039,-16.54248,0.8196182,14281,10148,5752.833,22.1,24.8,58,0,110,9,0
"pt7721",22.63171,-15.82152,0.8226148,15840,12930,7776.417,22.4,25,58,0,109,9,0
"pt7722",22.8914,-15.1056,0.8254482,50633,9746,6263.833,22.7,25.4,57,0,106,8,0
"pt7723",23.1396,-14.39533,0.8281223,32151,7341,3619.75,22.6,25.2,59,0,104,7,0
"pt7724",23.37644,-13.69129,0.8306413,25999,15773,9570.167,22.8,25.3,62,0,104,14,0
"pt7725",23.79015,-12.87192,0.8334517,130340,24591,12655.25,21.1,23.2,62,1,99,25,0
"pt7726",24.19479,-12.05728,0.8360645,41844,16370,10767.75,19.4,21.2,60,2,92,55,0
"pt7727",24.59272,-11.2462,0.8384842,40260,15296,9449,20.3,21.9,61,3,91,52,0
"pt7728",24.98557,-10.43782,0.8407381,39250,16370,11141.92,22,23.4,63,1,93,36,0
"pt7729",25.37459,-9.631473,0.8428255,27873,17088,12845.17,23,24.1,65,2,90,13,0
"pt7730",25.76068,-8.826658,0.8447273,35198,15555,10598.83,23.5,24.3,68,7,86,38,0
"pt7731",26.14459,-8.022977,0.8464826,32180,11973,5533.75,23.9,24.7,70,22,72,69,0
"pt7732",26.5269,-7.220111,0.8480549,25967,16213,11692.08,23.9,24.4,73,19,71,29,0
"pt7733",26.90809,-6.417805,0.849463,30664,15473,12367.58,24.9,25.3,74,10,74,10,0
"pt7734",27.2886,-5.615846,0.8507186,24198,16981,12549.92,24.8,25.2,73,21,67,32,0
"pt7735",27.66877,-4.81406,0.8517957,47153,24700,12228.33,23.1,23.4,76,69,56,195,0
"pt7736",28.04894,-4.012299,0.8527077,36730,18767,15057.5,24.2,24.5,79,83,51,15,0
"pt7737",28.42939,-3.210437,0.8534546,51515,22744,9171.917,21,21.3,78,95,51,327,0
"pt7738",28.81041,-2.408364,0.8540363,0,18401,11174.58,19.4,19.8,82,113,43,79,0
"pt7739",29.19224,-1.605988,0.8544559,35080,18935,10716.17,19.2,19.4,88,178,32,33,0
"pt7740",29.57513,-0.8032241,0.854705,5219,31293,14066.17,22.3,22.6,93,182,33,69,0
"pt7741",29.95932,-1.269101e-09,0.8547885,7744,26836,11697.08,22.2,22.6,88,170,38,84,0
"pt7742",30.35644,0.8050651,0.8547049,5615,21022,14429.75,22.8,23.5,85,155,33,365,0
"pt7743",30.75206,1.613767,0.8544522,NA,NA,NA,25.3,26.2,83,85,43,0,0
"pt7744",31.14534,2.426877,0.8540254,0,12250,5824.083,22.6,23.8,70,78,49,96,0
"pt7745",31.53518,3.245289,0.8534262,7738,NA,NA,26,27.8,70,65,52,23,0
"pt7746",31.92023,4.07005,0.852646,26582,14444,11415.92,25.9,28.1,74,41,60,62,0
"pt7747",32.29875,4.902384,0.8516796,17484,10214,7358.833,27.5,29.2,75,27,64,14,0
"pt7748",32.66852,5.743735,0.8505219,0,9177,5772.5,27.6,29.3,74,27,65,7,0
"pt7749",33.0267,6.595809,0.8491677,37434,9487,7240,27.7,29.4,72,31,70,12,0
"pt7750",33.55317,7.330884,0.8478501,104021,10877,8656.083,27.3,29.2,72,27,77,10,0
"pt7751",34.24741,7.946826,0.8466353,9935,11271,10086.75,26.7,28.7,73,23,79,12,0
"pt7752",34.92911,8.569966,0.8453047,26381,12967,9300.833,21,22.5,79,48,73,117,0
"pt7753",35.60103,9.198039,0.843874,10983,15784,10058.92,20.5,22.5,73,20,90,88,0
"pt7754",36.26549,9.829263,0.8423225,0,12979,5913.25,17.5,19,74,33,89,74,0
"pt7755",36.92447,10.46222,0.8406687,17692,13229,8163.333,19.7,21.5,71,22,98,309,0
"pt7756",37.57964,11.09577,0.8389127,10066,10163,5061.25,16,17.3,77,50,101,116,0
"pt7757",38.23244,11.729,0.8370549,0,11645,5053.333,7.8,9,77,51,106,184,0
"pt7758",16.94958,-28.86438,0.7491956,0,3693,2550,15.6,18.3,62,9,43,107,0
"pt7759",17.4092,-28.16625,0.7541001,0,NA,NA,18.5,23.1,57,10,43,147,0
"pt7760",17.85822,-27.46106,0.759009,0,NA,NA,19.6,24.9,56,5,99,54,0
"pt7761",18.2965,-26.74949,0.763802,0,1440,2742.333,21.3,27,56,1,99,16,0
"pt7762",18.72394,-26.03221,0.768587,0,2501,2484.167,20.4,26.5,55,3,93,7,0
"pt7763",19.14045,-25.30992,0.7731962,0,3143,2513.167,20.1,26.4,53,2,91,30,0
"pt7764",19.54598,-24.58332,0.7777362,0,3161,2654.833,19.9,25.7,55,4,88,12,0
"pt7765",19.94046,-23.85312,0.782202,0,3257,2659.333,19.7,25,56,3,88,7,0
"pt7766",20.32388,-23.12002,0.7865399,2892,4971,3046.833,19.7,24.8,57,7,85,6,0
"pt7767",20.69621,-22.38473,0.7907493,0,5111,3179.833,20.4,25.2,57,8,86,14,0
"pt7768",21.05746,-21.64795,0.7948751,0,5740,3439.917,20.5,24.8,58,3,94,7,0
"pt7769",21.40764,-20.91037,0.7988241,6038,6173,3915.75,21.7,25.7,56,1,101,12,0
"pt7770",21.74679,-20.17269,0.8026853,7158,5934,3597.167,22.3,26.1,56,0,105,8,0
"pt7771",22.07495,-19.43558,0.8063713,11933,8051,5392.333,22.3,25.8,56,1,103,7,0
"pt7772",22.39219,-18.6997,0.8099257,8427,9504,5263.75,22.1,25.4,56,1,104,10,0
"pt7773",22.69857,-17.96569,0.8133861,9791,9678,5946.25,21.9,25.2,56,1,107,12,0
"pt7774",22.99417,-17.23417,0.8166376,7150,11058,7167.25,22,25.1,56,1,109,9,0
"pt7775",23.27909,-16.50575,0.819794,7920,10103,5380.083,22.4,25.2,57,1,110,10,0
"pt7776",23.55343,-15.78101,0.8227831,83685,12575,7115.833,22.7,25.4,57,1,108,6,0
"pt7777",23.81731,-15.06051,0.825609,103675,14237,9068.833,22.3,24.9,56,0,107,15,0
"pt7778",24.07084,-14.34477,0.8283063,104577,17036,12043.83,21.9,24.4,57,1,106,14,0
"pt7779",24.31415,-13.6343,0.8308457,28165,23195,11055.42,21,23.4,58,1,103,10,0
"pt7780",24.54739,-12.92959,0.8332586,141629,23376,11332.33,20.7,22.9,59,1,99,19,0
"pt7781",24.95781,-12.10798,0.8358834,38303,12352,5971.167,20.2,22.1,59,2,95,60,0
"pt7782",25.36006,-11.29078,0.8383635,29864,14103,9296.333,19.7,21.5,61,2,92,34,0
"pt7783",25.75617,-10.47697,0.8406259,26217,13730,9121.833,19.6,21.1,62,2,90,70,0
"pt7784",26.14764,-9.665766,0.8427427,29643,15656,10260.25,20.9,22.3,62,2,88,70,0
"pt7785",26.53561,-8.856579,0.8446703,23328,11945,6204.167,24.2,25.5,64,7,80,29,0
"pt7786",26.92094,-8.048936,0.8464308,NA,NA,NA,25.1,26.1,68,24,69,0,0
